Tipo Agregado;Valor m2
Apartamento;42.5
Casa;70.0
Apartamento;53.33
Apartamento;16.67
Apartamento;17.14
Apartamento;26.0
Apartamento;33.33
Apartamento;21.43
Apartamento;16.67
Apartamento;50.0
Apartamento;66.67
Apartamento;53.5
Apartamento;17.59
Apartamento;25.37
Apartamento;17.27
Apartamento;14.71
Apartamento;25.64
Apartamento;56.0
Apartamento;15.62
Apartamento;24.0
Casa;30.0
Apartamento;32.89
Apartamento;26.46
Apartamento;30.56
Apartamento;21.9
Apartamento;35.45
Apartamento;48.15
Apartamento;17.5
Apartamento;25.71
Apartamento;20.49
Apartamento;40.91
Apartamento;33.33
Apartamento;26.0
Apartamento;32.64
Apartamento;22.22
Apartamento;25.0
Apartamento;27.78
Apartamento;57.14
Apartamento;36.84
Apartamento;19.28
Apartamento;42.48
Apartamento;67.42
Apartamento;36.78
Apartamento;17.22
Apartamento;26.42
Apartamento;55.09
Apartamento;20.93
Apartamento;25.0
Apartamento;25.68
Apartamento;53.33
Apartamento;56.43
Casa;29.41
Apartamento;42.11
Apartamento;0.0
Apartamento;16.67
Casa;38.36
Apartamento;43.75
Apartamento;52.92
Apartamento;25.0
Apartamento;17.78
Apartamento;40.0
Apartamento;30.68
Apartamento;29.73
Apartamento;42.31
Apartamento;19.48
Apartamento;29.41
Apartamento;18.59
Apartamento;42.59
Apartamento;26.67
Apartamento;28.99
Apartamento;58.33
Apartamento;35.26
Apartamento;16.67
Apartamento;26.67
Apartamento;46.51
Apartamento;35.71
Apartamento;24.29
Apartamento;12.5
Apartamento;22.5
Casa;18.57
Apartamento;15.7
Apartamento;10.73
Apartamento;55.17
Apartamento;20.75
Apartamento;41.38
Apartamento;33.73
Apartamento;53.75
Apartamento;55.6
Apartamento;51.02
Apartamento;52.24
Apartamento;166.67
Apartamento;34.09
Apartamento;31.17
Apartamento;24.55
Casa;27.03
Apartamento;45.88
Apartamento;44.67
Apartamento;13.33
Casa;36.36
Apartamento;87.5
Apartamento;11.25
Apartamento;27.03
Apartamento;36.67
Apartamento;39.37
Apartamento;22.97
Apartamento;23.44
Apartamento;50.0
Apartamento;31.0
Apartamento;25.86
Apartamento;55.0
Apartamento;17.19
Apartamento;22.0
Apartamento;13.33
Apartamento;192.31
Apartamento;105.26
Apartamento;21.15
Apartamento;36.11
